Name,Team,AVG,OBP,SLG,OPS,BABIP,wRC+,xBA,wOBA,xwOBA,ERA,ERA-,FIP,xFIP,FIP-,xFIP-,WHIP,SIERA
Harold Ramirez,TBR,0.313,0.353,0.46,0.813,0.359,128.0,0.27,0.349,0.319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harrison Bader,- - -,0.232,0.274,0.348,0.622,0.261,70.0,0.241,0.271,0.294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hayden Wesneski,CHC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.63,107.0,5.48,4.35,126.0,99.0,1.28,4.32
Heath Hembree,TBR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.51,2.51,61.0,58.0,0.75,4.07
Hector Neris,HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.71,40.0,3.83,4.45,91.0,104.0,1.05,3.89
Heliot Ramos,SFG,0.179,0.233,0.304,0.537,0.257,47.0,0.19,0.236,0.261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Henry Davis,PIT,0.213,0.302,0.351,0.653,0.273,76.0,0.22,0.287,0.288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Henry Ramos,CIN,0.243,0.349,0.311,0.66,0.34,83.0,0.228,0.303,0.298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Heston Kjerstad,BAL,0.233,0.281,0.467,0.748,0.278,104.0,0.265,0.318,0.364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hobie Harris,WSN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.12,117.0,5.84,7.06,132.0,161.0,1.76,6.59
Hoby Milner,MIL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82,41.0,3.13,3.66,71.0,84.0,0.96,3.43
Hogan Harris,OAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.14,175.0,5.02,5.21,121.0,122.0,1.51,4.78
Huascar Brazoban,MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.14,94.0,3.94,4.1,91.0,94.0,1.43,4.06
Hunter Brown,HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.09,120.0,4.37,3.52,103.0,82.0,1.36,3.74
Hunter Dozier,KCR,0.183,0.253,0.305,0.558,0.25,48.0,0.183,0.247,0.243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hunter Gaddis,CLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,107.0,5.26,6.43,125.0,150.0,1.31,5.93
Hunter Goodman,COL,0.2,0.247,0.386,0.632,0.277,48.0,0.213,0.266,0.268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hunter Greene,CIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.82,105.0,4.25,4.0,92.0,91.0,1.42,3.74
Hunter Harvey,WSN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.82,64.0,3.29,3.34,74.0,76.0,0.94,3.04
Hunter Renfroe,- - -,0.233,0.297,0.416,0.713,0.27,92.0,0.224,0.308,0.289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hunter Stratton,PIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,51.0,4.76,3.97,109.0,91.0,1.0,3.73
Hyun-Jin Ryu,TOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46,82.0,4.91,4.41,113.0,103.0,1.29,4.69
Ian Gibaut,CIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,72.0,4.07,4.45,88.0,102.0,1.28,4.19
Ian Hamilton,NYY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.64,63.0,2.82,3.26,65.0,76.0,1.22,3.43
Ian Happ,CHC,0.248,0.36,0.431,0.791,0.299,118.0,0.251,0.345,0.349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ian Kennedy,TEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.16,164.0,5.52,4.66,125.0,109.0,1.41,3.66
Ildemaro Vargas,WSN,0.252,0.304,0.363,0.666,0.259,81.0,0.261,0.292,0.299,4.5,102.0,12.76,9.56,288.0,218.0,1.5,7.38
Irving Lopez,STL,0.0,0.0,0.0,0.0,0.0,-100.0,0.091,0.0,0.086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Isaac Paredes,TBR,0.25,0.352,0.488,0.84,0.257,137.0,0.226,0.362,0.314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Isaiah Campbell,SEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.83,69.0,3.32,4.15,80.0,97.0,1.22,3.8
Isan Diaz,- - -,0.042,0.115,0.042,0.157,0.067,-50.0,0.08,0.087,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Isiah Kiner-Falefa,NYY,0.242,0.306,0.34,0.646,0.289,82.0,0.25,0.286,0.292,2.25,54.0,2.76,6.89,64.0,161.0,1.0,7.13
Ivan Herrera,STL,0.297,0.409,0.351,0.76,0.423,122.0,0.266,0.349,0.342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J.B. Bukauskas,- - -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,31.0,2.97,2.97,69.0,68.0,1.29,2.61
J.D. Davis,SFG,0.248,0.325,0.413,0.738,0.32,104.0,0.241,0.321,0.324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J.D. Martinez,LAD,0.271,0.321,0.572,0.893,0.324,135.0,0.269,0.369,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J.J. Bleday,OAK,0.195,0.31,0.355,0.666,0.226,92.0,0.202,0.297,0.301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J.P. Crawford,SEA,0.266,0.38,0.438,0.818,0.314,134.0,0.256,0.359,0.339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J.P. France,HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.83,90.0,4.66,4.8,110.0,112.0,1.36,4.96
J.P. Martinez,TEX,0.225,0.25,0.325,0.575,0.32,49.0,0.18,0.246,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J.T. Realmuto,PHI,0.252,0.31,0.452,0.762,0.307,102.0,0.254,0.324,0.336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JC Mejia,MIL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,127.0,4.31,3.04,98.0,69.0,1.59,3.15
JP Sears,OAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.54,111.0,5.15,5.1,124.0,119.0,1.26,4.62
JT Chargois,MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.61,82.0,3.8,4.28,88.0,98.0,1.25,4.36
Jace Peterson,- - -,0.211,0.304,0.307,0.611,0.27,74.0,0.213,0.275,0.285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jace Peterson,OAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,220.0,13.26,11.72,319.0,274.0,3.0,10.28
Jack Flaherty,- - -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.99,118.0,4.36,4.36,102.0,100.0,1.58,4.53
Jack Suwinski,PIT,0.224,0.339,0.454,0.793,0.29,112.0,0.218,0.341,0.349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jackie Bradley Jr.,KCR,0.133,0.188,0.21,0.397,0.173,2.0,0.183,0.18,0.242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jackson Frazier,CHW,0.197,0.303,0.242,0.545,0.302,58.0,0.192,0.256,0.258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jackson Kowar,KCR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.43,144.0,5.29,5.26,124.0,123.0,1.93,5.02
Jackson Rutledge,WSN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.75,154.0,5.86,6.15,132.0,140.0,1.5,5.78
Jackson Stephens,ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,68.0,3.76,4.05,87.0,92.0,1.5,4.28
Jackson Wolf,SDP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,130.0,3.46,5.11,80.0,117.0,1.4,5.29
Jacob Amaya,MIA,0.222,0.222,0.222,0.444,0.25,16.0,0.263,0.196,0.264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jacob Barnes,STL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.93,139.0,3.91,5.5,91.0,126.0,1.54,4.84
Jacob Lopez,TBR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.38,107.0,2.93,4.54,71.0,106.0,1.3,4.56
Jacob Stallings,MIA,0.191,0.278,0.286,0.565,0.249,57.0,0.189,0.256,0.261,4.5,102.0,5.38,7.06,125.0,161.0,1.5,6.23
Jacob Webb,- - -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.69,86.0,4.48,4.85,103.0,113.0,1.29,4.43
Jacob Young,WSN,0.252,0.322,0.336,0.658,0.318,82.0,0.23,0.294,0.273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jacob deGrom,TEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67,61.0,1.54,2.32,35.0,54.0,0.76,2.24
Jahmai Jones,MIL,0.2,0.273,0.3,0.573,0.4,57.0,0.159,0.257,0.238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaime Barria,LAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.68,130.0,6.07,5.32,138.0,124.0,1.47,4.91
Jake Alu,WSN,0.226,0.282,0.289,0.571,0.291,56.0,0.239,0.256,0.284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jake Bauers,NYY,0.202,0.279,0.413,0.693,0.268,89.0,0.228,0.297,0.339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jake Bird,COL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.33,86.0,3.55,4.01,77.0,91.0,1.35,3.85
Jake Burger,- - -,0.25,0.309,0.518,0.828,0.284,120.0,0.268,0.349,0.358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
